Frequencies,Band_A_Power,Band_B_Power,Coherence,Phase Lags,Time Lags
0.14200000000000002,0.09682158107632823,0.021888631174990195,0.14854417955969357,-1.3001582608695648,-1.4572296761912196
0.14300000000000002,0.09611111790749825,0.021517184009313267,0.14817021331946395,-1.276480869565217,-1.4206869940807354
0.14400000000000002,0.09540128896274426,0.02115182190598072,0.14778890507370296,-1.2528034782608692,-1.3846518492217859
0.145,0.09469263669864203,0.020792639567305763,0.14740065375126382,-1.229126086956522,-1.34911374084365
0.146,0.09398567985610977,0.020439709828559877,0.14700584388860857,-1.2054486956521742,-1.314062455867954
0.147,0.09328091358246858,0.02009308536065103,0.14660484598366846,-1.181771304347826,-1.279488059123219
0.148,0.09257880963725676,0.019752800309518544,0.1461980168545176,-1.1580939130434782,-1.245380883956116
0.149,0.09187981667419852,0.019418871866329398,0.14578570000126265,-1.1344165217391304,-1.2117315232207864
0.15,0.09118436059189595,0.01909130176421024,0.14536822596970533,-1.1107391304347827,-1.1785308206285943
0.151,0.09049284494602984,0.018770077698688218,0.1449459127154753,-1.087061739130435,-1.145769862441597
0.152,0.08980565141611167,0.01845517467025563,0.1445190659674615,-1.0633843478260872,-1.1134399694939023
0.153,0.08912314032011832,0.01814655624853181,0.14408797958949554,-1.039706956521739,-1.0815326895259156
0.154,0.08844565117065831,0.01784417575838734,0.14365293593935302,-1.0160295652173912,-1.0500397898172535
0.155,0.08777350326665226,0.017547977389135393,0.14321420622424497,-0.9923521739130434,-1.0189532501048326
0.156,0.0871069963148618,0.017257897228499196,0.14277205085207126,-0.9686747826086957,-0.9882652557733401
0.157,0.08644641107595873,0.016973864223547474,0.14232671977779596,-0.9449973913043479,-0.9579681913059429
0.158,0.08579201003018957,0.01669580107116679,0.14187845284439027,-0.9213199999999997,-0.9280546339837024
0.159,0.08514403805805396,0.016423625040923668,0.1414274801178637,-0.8976426086956519,-0.8985173478227482
0.16,0.08450272313177411,0.016157248733372834,0.14097402221597566,-0.8739652173913042,-0.8693492777388059
0.161,0.08386827701368707,0.01589658077700316,0.1405182906302825,-0.8502878260869564,-0.8405435439291985
0.162,0.08324089595803442,0.01564152646708937,0.14006048804123591,-0.8266104347826086,-0.8120934364629194
0.163,0.08262076141295756,0.015391988349745228,0.13960080862609917,-0.8029330434782609,-0.7839924100698462
0.164,0.08200804071982673,0.015147866754461217,0.13913943835949868,-0.7792556521739127,-0.7562340791205906
0.165,0.0814028878073375,0.014909060278363553,0.13867655530647133,-0.7555782608695649,-0.7288122127889021
0.166,0.08080544387809867,0.014675466225358988,0.1382123299079067,-0.7319008695652172,-0.7017207303889208
0.167,0.0802158380857106,0.014446981003235968,0.1377469252583209,-0.7082234782608694,-0.6749536968799572
0.168,0.07963418820058975,0.014223500481683398,0.13728049737592954,-0.6845460869565216,-0.6485053185318145
